Player,FGA 2015,FGA 2016,FGA 2017,FGA 2018,FGA 2019,FGA 2020,FG% 2015,FG% 2016,FG% 2017,FG% 2018,FG% 2019,FG% 2020,3P 2015,3P 2016,3P 2017,3P 2018,3P 2019,3P 2020,3PA 2015,3PA 2016,3PA 2017,3PA 2018,3PA 2019,3PA 2020,3P% 2015,3P% 2016,3P% 2017,3P% 2018,3P% 2019,3P% 2020,FTM 2015,FTM 2016,FTM 2017,FTM 2018,FTM 2019,FTM 2020,FTA 2015,FTA 2016,FTA 2017,FTA 2018,FTA 2019,FTA 2020,FT% 2015,FT% 2016,FT% 2017,FT% 2018,FT% 2019,FT% 2020,ORB 2015,ORB 2016,ORB 2017,ORB 2018,ORB 2019,ORB 2020,DRB 2015,DRB 2016,DRB 2017,DRB 2018,DRB 2019,DRB 2020,TRB 2015,TRB 2016,TRB 2017,TRB 2018,TRB 2019,TRB 2020,AST 2015,AST 2016,AST 2017,AST 2018,AST 2019,AST 2020,STL 2015,STL 2016,STL 2017,STL 2018,STL 2019,STL 2020,BLK 2015,BLK 2016,BLK 2017,BLK 2018,BLK 2019,BLK 2020,TOV 2015,TOV 2016,TOV 2017,TOV 2018,TOV 2019,TOV 2020,PF 2015,PF 2016,PF 2017,PF 2018,PF 2019,PF 2020,PTS 2015,PTS 2016,PTS 2017,PTS 2018,PTS 2019,PTS 2020,+/- 2015,+/- 2016,+/- 2017,+/- 2018,+/- 2019,-2020,TS% 2015,TS% 2016,TS% 2017,TS% 2018,TS% 2019,TS% 2020,eFG% 2015,eFG% 2016,eFG% 2017,eFG% 2018,eFG% 2019,eFG% 2020,3PAr 2015,3PAr 2016,3PAr 2017,3PAr 2018,3PAr 2019,3PAr 2020,ORtg 2015,ORtg 2016,ORtg 2017,ORtg 2018,ORtg 2019,ORtg 2020,DRtg 2015,DRtg 2016,DRtg 2017,DRtg 2018,DRtg 2019,DRtg 2020,PG% 2015,PG% 2016,PG% 2017,PG% 2018,PG% 2019,PG% 2020,SG% 2015,SG% 2016,SG% 2017,SG% 2018,SG% 2019,SG% 2020,SF% 2015,SF% 2016,SF% 2017,SF% 2018,SF% 2019,SF% 2020,PF% 2015,PF% 2016,PF% 2017,PF% 2018,PF% 2019,PF% 2020,C% 2015,C% 2016,C% 2017,C% 2018,C% 2019,C% 2020,Sum Seasons
Javonte Green,,,,,,2.625,,,,,,0.534314286,,,,,,0.1875,,,,,,0.6875,,,,,,0.287,,,,,,0.583333333,,,,,,0.875,,,,,,0.664266667,,,,,,0.5,,,,,,1.4375,,,,,,1.9375,,,,,,0.541666667,,,,,,0.5,,,,,,0.166666667,,,,,,0.479166667,,,,,,0.895833333,,,,,,3.395833333,,,,,,-0.645833333,,,,,,0.580666667,,,,,,0.565285714,,,,,,0.2138,,,,,,87.60416667,,,,,,106.2291667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jawun Evans,,,,5.270833333,1.75,,,,,0.393372093,0.1238,,,,,0.3125,0,,,,,1.125,0.375,,,,,0.2393,0,,,,,0.791666667,0,,,,,1.020833333,0,,,,,0.753722222,,,,,,0.1875,0.125,,,,,1.5625,1.375,,,,,1.75,1.5,,,,,2.083333333,1.25,,,,,0.75,0.375,,,,,0.125,0,,,,,0.916666667,0.75,,,,,2.020833333,1,,,,,4.8125,0.75,,,,,0.229166667,-6.375,,,,,0.468093023,0.1238,,,,,0.421790698,0.1238,,,,,0.211837209,0.5,,,,,101.9166667,79.25,,,,,112.625,111.125,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jaxson Hayes,,,,,,4.046875,,,,,,0.683114754,,,,,,0.015625,,,,,,0.0625,,,,,,0.25,,,,,,1.921875,,,,,,2.96875,,,,,,0.660979592,,,,,,1.515625,,,,,,2.53125,,,,,,4.046875,,,,,,0.875,,,,,,0.40625,,,,,,0.859375,,,,,,0.828125,,,,,,2.515625,,,,,,7.375,,,,,,-0.90625,,,,,,0.696677419,,,,,,0.684754098,,,,,,0.01257377,,,,,,129.109375,,,,,,112.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Jaylen Adams,,,,,3.235294118,,,,,,0.338966667,,,,,,0.735294118,,,,,,2.176470588,,,,,,0.353714286,,,,,,0.205882353,,,,,,0.264705882,,,,,,0.6,,,,,,0.323529412,,,,,,1.441176471,,,,,,1.764705882,,,,,,1.911764706,,,,,,0.411764706,,,,,,0.147058824,,,,,,0.823529412,,,,,,1.323529412,,,,,,3.176470588,,,,,,-1.676470588,,,,,,0.481466667,,,,,,0.466533333,,,,,,0.694833333,,,,,,97.41176471,,,,,,116.7941176,,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Jaylen Brown,,,5.423076923,11.47142857,10.7027027,15.51724138,,,0.417105263,0.4605,0.466013514,0.479793103,,,0.58974359,1.728571429,1.283783784,2.275862069,,,1.730769231,4.371428571,3.72972973,5.965517241,,,0.319425926,0.3735,0.331571429,0.361327586,,,1.08974359,2.142857143,1.797297297,3.086206897,,,1.58974359,3.328571429,2.72972973,4.24137931,,,0.707904762,0.600864407,0.634403509,0.691581818,,,0.576923077,0.942857143,0.878378378,1.068965517,,,2.243589744,4,3.351351351,5.344827586,,,2.820512821,4.942857143,4.22972973,6.413793103,,,0.820512821,1.628571429,1.351351351,2.068965517,,,0.448717949,1,0.932432432,1.172413793,,,0.230769231,0.371428571,0.432432432,0.379310345,,,0.871794872,1.771428571,1.337837838,2.224137931,,,1.820512821,2.585714286,2.513513514,2.948275862,,,6.602564103,14.52857143,13.02702703,20.25862069,,,-1.5,4.885714286,0.891891892,3.965517241,,,0.488473684,0.551114286,0.540513514,0.581293103,,,0.461618421,0.533357143,0.524189189,0.553810345,,,0.301473684,0.377357143,0.345837838,0.383172414,,,94.24358974,102.3142857,101.5945946,109.5,,,110.025641,105.8142857,109.1486486,108.2931034,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
Jaylen Hoard,,,,,,2.461538462,,,,,,0.542444444,,,,,,0,,,,,,0.230769231,,,,,,0,,,,,,0.615384615,,,,,,1,,,,,,0.639,,,,,,1.076923077,,,,,,1.384615385,,,,,,2.461538462,,,,,,0.307692308,,,,,,0.384615385,,,,,,0,,,,,,0.307692308,,,,,,0.923076923,,,,,,2.923076923,,,,,,0.769230769,,,,,,0.533,,,,,,0.542444444,,,,,,0.050333333,,,,,,107,,,,,,107.3076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Jaylen Morris,,,,5.333333333,2.5,,,,,0.4185,0.33325,,,,,0.333333333,0.25,,,,,1.666666667,0.75,,,,,0.1666,0.5,,,,,0,0.25,,,,,0,0.5,,,,,,0.5,,,,,0.333333333,0,,,,,2.333333333,1.25,,,,,2.666666667,1.25,,,,,1.166666667,1,,,,,0.333333333,0.5,,,,,0.166666667,0,,,,,1,0.25,,,,,0.333333333,0.25,,,,,4.666666667,2.5,,,,,-7,3,,,,,0.441666667,0.40725,,,,,0.441666667,0.375,,,,,0.288666667,0.25,,,,,80.83333333,93.25,,,,,115,95,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jaylen Nowell,,,,,,3.533333333,,,,,,0.296214286,,,,,,0.2,,,,,,1.733333333,,,,,,0.071454545,,,,,,1.066666667,,,,,,1.133333333,,,,,,0.9445,,,,,,0.2,,,,,,0.666666667,,,,,,0.866666667,,,,,,1.266666667,,,,,,0.2,,,,,,0.066666667,,,,,,0.2,,,,,,0.733333333,,,,,,3.8,,,,,,0.733333333,,,,,,0.368428571,,,,,,0.309857143,,,,,,0.4335,,,,,,91.2,,,,,,116.7333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jayson Tatum,,,,10.4375,13.11392405,18.55223881,,,,0.472075,0.43964557,0.451014925,,,,1.3125,1.46835443,2.880597015,,,,3.025,3.936708861,7.104477612,,,,0.447907895,0.386578947,0.372029851,,,,2.6625,2.46835443,4,,,,3.225,2.886075949,4.880597015,,,,0.8254375,0.86712963,0.796016393,,,,0.625,0.886075949,0.955223881,,,,4.4,5.151898734,6.029850746,,,,5.025,6.037974684,6.985074627,,,,1.6,2.126582278,3.074626866,,,,1.0375,1.063291139,1.402985075,,,,0.725,0.721518987,0.850746269,,,,1.425,1.544303797,2.373134328,,,,2.125,2.126582278,2.044776119,,,,13.9,15.73417722,23.59701493,,,,4.35,4.556962025,7.552238806,,,,0.5879125,0.535379747,0.571253731,,,,0.5389375,0.495405063,0.527134328,,,,0.308725,0.292683544,0.384149254,,,,110.9875,104.8101266,110.7462687,,,,104.3,107.8734177,105.8208955,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,3
Jeff Adrien,2.588235294,,,,,,0.449642857,,,,,,0,,,,,,0,,,,,,,,,,,,1.294117647,,,,,,2.235294118,,,,,,0.562181818,,,,,,1.352941176,,,,,,3.176470588,,,,,,4.529411765,,,,,,0.882352941,,,,,,0.235294118,,,,,,0.529411765,,,,,,0.529411765,,,,,,1.764705882,,,,,,3.529411765,,,,,,-0.823529412,,,,,,0.4762,,,,,,0.449642857,,,,,,0,,,,,,121.9411765,,,,,,110.5294118,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
